picture_name,text
00808.jpg,046TS
01433.jpg,912FB
01063.jpg,044FF
01576.jpg,M496T
00263.jpg,155DW
00799.jpg,871MC
01921.jpg,401DW
00326.jpg,077KS
01864.jpg,237TF
00776.jpg,300VP
01425.jpg,237KS
01560.jpg,710WG
00166.jpg,470KV
01720.jpg,545JX
01665.jpg,048PJ
00218.jpg,344RY
00577.jpg,379LM
01736.jpg,729JM
00961.jpg,908LM
01809.jpg,308LP
00873.jpg,448XT
01761.jpg,220DP
00035.jpg,727PP
00936.jpg,698MM
00384.jpg,524YR
01595.jpg,220DP
01829.jpg,220HH
01653.jpg,373TD
00804.jpg,737RW
00296.jpg,228DN
01487.jpg,544PT
00445.jpg,686HF
00015.jpg,473BW
01242.jpg,988HG
01307.jpg,179KS
00668.jpg,211CS
01215.jpg,828GZ
01844.jpg,449GW
00756.jpg,330FM
01517.jpg,499RK
00886.jpg,889KW
00644.jpg,M252Y
00994.jpg,110CT
01669.jpg,826BW
00717.jpg,638SN
01043.jpg,399DV
01151.jpg,885VV
00310.jpg,554CC
01782.jpg,148LN
00039.jpg,733JW
01629.jpg,905HX
01783.jpg,981CN
00038.jpg,678DP
01150.jpg,374SY
01500.jpg,449XX
00741.jpg,459VV
00311.jpg,767BW
01445.jpg,885DC
01384.jpg,396GJ
00716.jpg,638SN
01941.jpg,M175Y
01687.jpg,700VJ
00215.jpg,344RY
01404.jpg,598GC
01146.jpg,510JK
01003.jpg,333HR
00405.jpg,606WZ
01214.jpg,229LR
00813.jpg,062CZ
01582.jpg,678TP
00669.jpg,499NV
00393.jpg,R366BD
00901.jpg,865NN
00844.jpg,233HX
01306.jpg,045XY
00014.jpg,076YR
01740.jpg,204SV
00151.jpg,538FG
01039.jpg,818LX
01275.jpg,644MH
00560.jpg,636NT
00075.jpg,M710P
01234.jpg,142KY
00976.jpg,096NJ
01849.jpg,046MT
00022.jpg,444PC
00188.jpg,814GY
01424.jpg,721LV
01832.jpg,736HH
01648.jpg,576BY
00798.jpg,211NG
00327.jpg,064GS
01865.jpg,213NY
00848.jpg,439FR
00624.jpg,933BP
01465.jpg,SG188
01170.jpg,313WR
01520.jpg,344GS
