epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.353,1.21036,0.9811,1.1456,0.97869,0.94829,0.97601,0.65929,1.17743,0.54157,1.10306,0.00333045,0.00333045,0.00333045
2,212.662,1.18363,0.6333,1.11684,0.98071,0.93935,0.97218,0.65825,1.15637,0.5589,1.11364,0.0064753,0.0064753,0.0064753
3,312.65,1.2147,0.68643,1.15619,0.89776,0.88804,0.91143,0.60451,1.21295,0.76003,1.20186,0.00943157,0.00943157,0.00943157
4,411.805,1.22334,0.69177,1.18142,0.97443,0.93913,0.96081,0.6537,1.17368,0.57816,1.18106,0.00915143,0.00915143,0.00915143
5,510.875,1.19021,0.6399,1.16939,0.97822,0.93533,0.96852,0.6665,1.12459,0.55103,1.1506,0.00886857,0.00886857,0.00886857
6,610.53,1.16419,0.60276,1.14972,0.98569,0.94348,0.97097,0.6802,1.11229,0.49845,1.13594,0.00858571,0.00858571,0.00858571
7,709.493,1.15325,0.58436,1.14199,0.98641,0.94688,0.97766,0.69069,1.09775,0.47168,1.12401,0.00830286,0.00830286,0.00830286
8,808.22,1.13498,0.55714,1.13283,0.98584,0.94565,0.9756,0.68905,1.11874,0.453,1.13381,0.00802,0.00802,0.00802
9,905.463,1.12248,0.54269,1.12991,0.98471,0.94523,0.9772,0.69524,1.10931,0.44003,1.12517,0.00773714,0.00773714,0.00773714
10,1002.66,1.11745,0.5371,1.12641,0.98051,0.95713,0.98278,0.69627,1.08994,0.44187,1.12013,0.00745429,0.00745429,0.00745429
11,1099.84,1.10408,0.52012,1.12067,0.984,0.95489,0.97995,0.6987,1.09238,0.41881,1.1192,0.00717143,0.00717143,0.00717143
12,1196.66,1.09872,0.5114,1.11565,0.98503,0.95272,0.9801,0.69995,1.08795,0.42513,1.11911,0.00688857,0.00688857,0.00688857
13,1293.51,1.0891,0.50674,1.11025,0.97958,0.9646,0.9828,0.70924,1.07289,0.4049,1.10806,0.00660571,0.00660571,0.00660571
14,1390.84,1.07848,0.4948,1.10338,0.98685,0.95272,0.98438,0.71301,1.08028,0.39956,1.10595,0.00632286,0.00632286,0.00632286
15,1488.49,1.07468,0.49074,1.10183,0.98936,0.96025,0.98433,0.70996,1.06666,0.39565,1.10168,0.00604,0.00604,0.00604
16,1586.9,1.06576,0.48052,1.09337,0.98859,0.9538,0.98078,0.717,1.06975,0.40133,1.09866,0.00575714,0.00575714,0.00575714
17,1685.65,1.05817,0.46866,1.09289,0.98369,0.9625,0.98602,0.721,1.06463,0.38346,1.09764,0.00547429,0.00547429,0.00547429
18,1783.85,1.0479,0.46619,1.0854,0.98339,0.96576,0.9847,0.71726,1.0617,0.3852,1.09959,0.00519143,0.00519143,0.00519143
19,1882.33,1.04758,0.45796,1.09217,0.98665,0.9637,0.98576,0.7159,1.05588,0.37075,1.09467,0.00490857,0.00490857,0.00490857
20,1979.05,1.04258,0.45599,1.08531,0.97968,0.96961,0.98606,0.71791,1.0538,0.36476,1.09168,0.00462571,0.00462571,0.00462571
21,2076.19,1.03057,0.44541,1.0773,0.98323,0.96304,0.98411,0.71579,1.06142,0.36692,1.09614,0.00434286,0.00434286,0.00434286
22,2174.36,1.02973,0.44269,1.08055,0.98696,0.96793,0.98677,0.72431,1.04851,0.35796,1.08631,0.00406,0.00406,0.00406
23,2273.34,1.01771,0.43508,1.07157,0.9872,0.96442,0.98613,0.72412,1.05316,0.3583,1.08915,0.00377714,0.00377714,0.00377714
24,2369.88,1.00866,0.42691,1.0683,0.98837,0.96576,0.9863,0.72323,1.05031,0.35612,1.08729,0.00349429,0.00349429,0.00349429
25,2467.04,1.00731,0.42204,1.06465,0.98728,0.9663,0.98622,0.72152,1.04952,0.35493,1.08642,0.00321143,0.00321143,0.00321143
26,2564.54,0.99463,0.38409,1.09869,0.98386,0.97174,0.98674,0.72834,1.04459,0.35234,1.08583,0.00292857,0.00292857,0.00292857
27,2661.66,0.98088,0.37368,1.09413,0.98978,0.96413,0.98683,0.72675,1.04917,0.35282,1.08636,0.00264571,0.00264571,0.00264571
28,2759.48,0.9737,0.36748,1.08505,0.98891,0.96926,0.98732,0.72743,1.04711,0.34816,1.0853,0.00236286,0.00236286,0.00236286
29,2857.26,0.96046,0.36284,1.08213,0.98595,0.96793,0.98735,0.72807,1.04938,0.3497,1.08544,0.00208,0.00208,0.00208
30,2954.48,0.95438,0.35457,1.07719,0.98187,0.97121,0.98682,0.72632,1.05115,0.34744,1.08608,0.00179714,0.00179714,0.00179714
31,3051.72,0.94196,0.35067,1.07176,0.98834,0.96723,0.98767,0.72926,1.05,0.34584,1.08614,0.00151429,0.00151429,0.00151429
32,3150,0.93119,0.34147,1.06494,0.98895,0.96467,0.98751,0.7295,1.05313,0.3462,1.08729,0.00123143,0.00123143,0.00123143
33,3247.82,0.92032,0.33658,1.06134,0.98186,0.9709,0.98797,0.72698,1.05378,0.34534,1.0881,0.000948571,0.000948571,0.000948571
34,3344.76,0.91178,0.32847,1.0565,0.98296,0.97159,0.98848,0.72691,1.05924,0.3466,1.09074,0.000665714,0.000665714,0.000665714
35,3441.53,0.90113,0.32258,1.05027,0.98671,0.96877,0.9879,0.72635,1.06106,0.34486,1.09147,0.000382857,0.000382857,0.000382857
