epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.221,1.21042,1.00206,1.15082,0.98214,0.95163,0.97359,0.63095,1.19156,0.52852,1.1337,0.00333045,0.00333045,0.00333045
2,221.463,1.1908,0.6378,1.13433,0.9657,0.9375,0.96773,0.65864,1.15334,0.60641,1.14437,0.0064753,0.0064753,0.0064753
3,322.22,1.21499,0.68689,1.16361,0.95953,0.89565,0.94359,0.6497,1.16357,0.64939,1.17508,0.00943157,0.00943157,0.00943157
4,424.97,1.22948,0.69263,1.18684,0.98072,0.93997,0.96924,0.66005,1.15266,0.54909,1.16471,0.00915143,0.00915143,0.00915143
5,527.636,1.19244,0.64179,1.1704,0.9776,0.93859,0.97171,0.67158,1.12941,0.53099,1.15452,0.00886857,0.00886857,0.00886857
6,629.228,1.17164,0.60308,1.15506,0.97728,0.9413,0.96848,0.67356,1.12419,0.50507,1.15012,0.00858571,0.00858571,0.00858571
7,732.495,1.14684,0.5801,1.14318,0.98509,0.9462,0.97468,0.68601,1.11551,0.47874,1.14016,0.00830286,0.00830286,0.00830286
8,833.533,1.13696,0.56673,1.13725,0.98309,0.9481,0.97745,0.68721,1.11485,0.46182,1.13659,0.00802,0.00802,0.00802
9,936.546,1.12831,0.54873,1.13669,0.97814,0.94855,0.97884,0.69735,1.09866,0.44737,1.12195,0.00773714,0.00773714,0.00773714
10,1064.5,1.10796,0.53121,1.12112,0.98813,0.9498,0.97693,0.69627,1.09887,0.44358,1.12487,0.00745429,0.00745429,0.00745429
11,1264.53,1.10405,0.52408,1.1193,0.98791,0.9538,0.97941,0.69252,1.09972,0.43456,1.12243,0.00717143,0.00717143,0.00717143
12,1463.87,1.08679,0.51007,1.11568,0.98214,0.95623,0.98098,0.70431,1.09204,0.42227,1.11839,0.00688857,0.00688857,0.00688857
13,1664.92,1.0863,0.49988,1.1088,0.98391,0.96356,0.98216,0.70843,1.08125,0.40092,1.10959,0.00660571,0.00660571,0.00660571
14,1867.6,1.08566,0.49622,1.10665,0.97998,0.9578,0.98138,0.70036,1.08668,0.40552,1.11271,0.00632286,0.00632286,0.00632286
15,2070.6,1.07876,0.48969,1.10427,0.98785,0.96033,0.98241,0.70683,1.072,0.39841,1.10392,0.00604,0.00604,0.00604
16,2275.12,1.06698,0.48056,1.09463,0.98837,0.96576,0.98477,0.70808,1.06941,0.3884,1.101,0.00575714,0.00575714,0.00575714
17,2478.26,1.05719,0.46868,1.08947,0.98912,0.96413,0.98452,0.7109,1.07628,0.38146,1.10178,0.00547429,0.00547429,0.00547429
18,2681.12,1.05415,0.46774,1.0912,0.98012,0.96793,0.98517,0.71442,1.06454,0.37751,1.09943,0.00519143,0.00519143,0.00519143
19,2885.11,1.04721,0.46062,1.09004,0.98747,0.96467,0.98496,0.71352,1.06259,0.36843,1.09694,0.00490857,0.00490857,0.00490857
20,3087.42,1.04238,0.45753,1.08663,0.98175,0.96685,0.98418,0.71491,1.06858,0.38078,1.09846,0.00462571,0.00462571,0.00462571
21,3200.45,1.03705,0.45208,1.08167,0.98886,0.96521,0.98475,0.71554,1.05841,0.3664,1.09354,0.00434286,0.00434286,0.00434286
22,3305.73,1.03151,0.44342,1.07754,0.98293,0.97024,0.98488,0.71955,1.06435,0.36656,1.09238,0.00406,0.00406,0.00406
23,3410.63,1.02214,0.43699,1.07427,0.98284,0.97011,0.98545,0.72087,1.05886,0.36131,1.08949,0.00377714,0.00377714,0.00377714
24,3515.81,1.01612,0.43036,1.07181,0.98829,0.96298,0.98536,0.72488,1.05676,0.35389,1.08846,0.00349429,0.00349429,0.00349429
25,3618.43,1.00676,0.4256,1.06423,0.98411,0.97228,0.98788,0.72402,1.05675,0.3525,1.08778,0.00321143,0.00321143,0.00321143
26,3724.17,0.99874,0.38892,1.09802,0.9855,0.96848,0.9873,0.72683,1.05721,0.35434,1.08799,0.00292857,0.00292857,0.00292857
27,3824.41,0.9874,0.38135,1.09727,0.98337,0.97337,0.98876,0.72717,1.06118,0.35556,1.08849,0.00264571,0.00264571,0.00264571
28,3923.3,0.97107,0.37075,1.08618,0.98838,0.97099,0.98606,0.72827,1.05675,0.35009,1.08963,0.00236286,0.00236286,0.00236286
29,4022.86,0.9598,0.36296,1.08277,0.98612,0.96957,0.98667,0.72875,1.05524,0.3506,1.08928,0.00208,0.00208,0.00208
30,4120.81,0.95452,0.35901,1.07943,0.98969,0.96793,0.98808,0.72898,1.05791,0.34678,1.09011,0.00179714,0.00179714,0.00179714
31,4219.93,0.944,0.35147,1.07309,0.9889,0.96839,0.98689,0.72996,1.05559,0.34634,1.08886,0.00151429,0.00151429,0.00151429
32,4320,0.93376,0.34355,1.06773,0.98991,0.9712,0.98853,0.73012,1.06041,0.34462,1.08952,0.00123143,0.00123143,0.00123143
33,4420.36,0.9197,0.33632,1.06013,0.98782,0.9712,0.98986,0.72793,1.06644,0.34623,1.09242,0.000948571,0.000948571,0.000948571
34,4520.44,0.91444,0.33037,1.05857,0.98731,0.9712,0.98936,0.73029,1.06551,0.34464,1.09268,0.000665714,0.000665714,0.000665714
35,4619.64,0.89926,0.3242,1.05055,0.98397,0.97283,0.98809,0.72765,1.0665,0.34595,1.09281,0.000382857,0.000382857,0.000382857
